"group","pvalue","N","S","rho","Mouse_genotype","predicted","std.error","conf.low","conf.high","infection_isolate"
"MMd_F0 (Sc-Sc)Brandenburg139 (E. ferrisi)",0.84,6,50,0.11,"MMd_F0 (Sc-Sc)",0.12,0.046402775280932,0.0287746143833688,0.210670151050033,"Brandenburg139 (E. ferrisi)"
"MMd_F0 (St-St)Brandenburg139 (E. ferrisi)",0.382,6,33.93,0.39,"MMd_F0 (St-St)",0.12,0.0386894686837386,0.0394371789171661,0.191097109319402,"Brandenburg139 (E. ferrisi)"
"MMm_F0 (Bu-Bu)Brandenburg139 (E. ferrisi)",0.066,6,14,0.75,"MMm_F0 (Bu-Bu)",0.1,0.0436051931624696,0.0104772910251707,0.181406507299876,"Brandenburg139 (E. ferrisi)"
"MMm_F0 (Pw-Pw)Brandenburg139 (E. ferrisi)",0.236,6,26,0.54,"MMm_F0 (Pw-Pw)",0.07,0.0272463660447466,0.0209177914094071,0.127721583724004,"Brandenburg139 (E. ferrisi)"
"MMd_F0 (Sc-Sc)Brandenburg64 (E. ferrisi)",0.258,14,385.43,0.31,"MMd_F0 (Sc-Sc)",0.06,0.0300611807513893,0.000258143166010021,0.118095806376954,"Brandenburg64 (E. ferrisi)"
"MMd_F0 (St-St)Brandenburg64 (E. ferrisi)",0.227,15,462.39,0.32,"MMd_F0 (St-St)",0.03,0.0152010689012783,-0.000258439254375648,0.059328655891659,"Brandenburg64 (E. ferrisi)"
"MMm_F0 (Bu-Bu)Brandenburg64 (E. ferrisi)",0.004,14,170.65,0.7,"MMm_F0 (Bu-Bu)",0.04,0.0114012963622423,0.0181972452257031,0.0628895057198279,"Brandenburg64 (E. ferrisi)"
"MMm_F0 (Pw-Pw)Brandenburg64 (E. ferrisi)",0.03,13,188,0.59,"MMm_F0 (Pw-Pw)",0.05,0.0100178418118058,0.0329104571800009,0.0721796754879186,"Brandenburg64 (E. ferrisi)"
"MMd_F0 (Sc-Sc)Brandenburg88 (E. falciformis)",0.812,6,49.77,0.11,"MMd_F0 (Sc-Sc)",0.06,0.0211772631982459,0.0196138195470861,0.102627165866461,"Brandenburg88 (E. falciformis)"
"MMd_F0 (St-St)Brandenburg88 (E. falciformis)",0.04,7,22.63,0.73,"MMd_F0 (St-St)",0.03,0.0101211042236854,0.00731768589788027,0.0469916854222794,"Brandenburg88 (E. falciformis)"
"MMm_F0 (Bu-Bu)Brandenburg88 (E. falciformis)",1,2,2,0.5,"MMm_F0 (Bu-Bu)",0.09,0.0268878527943654,0.0330846203276776,0.138483066524819,"Brandenburg88 (E. falciformis)"
"MMm_F0 (Pw-Pw)Brandenburg88 (E. falciformis)",0.683,4,14,0.3,"MMm_F0 (Pw-Pw)",0.35,0.0640194575429987,0.22297704397596,0.473928706164097,"Brandenburg88 (E. falciformis)"
