"Mouse_genotype","predicted","std.error","conf.low","conf.high","infection_isolate","millionOPG","CI95"
"SCHUNT",484603.999999999,0.390302543773538,225507.435932199,1041389.32645487,"Brandenburg139 (E. ferrisi)",0.48,"[0.23-1.04]"
"SCHUNT",456384.5,0.275985591928146,265712.217904748,783881.19854886,"Brandenburg64 (E. ferrisi)",0.46,"[0.27-0.78]"
"SCHUNT",1136492.83333333,0.42157469604885,497418.197684167,2596639.94246975,"Brandenburg88 (E. falciformis)",1.14,"[0.5-2.6]"
"STRA",649984.333333329,0.421574826235063,284483.934812363,1485073.78406949,"Brandenburg139 (E. ferrisi)",0.65,"[0.28-1.49]"
"STRA",878777.466666659,0.266627280941846,521105.142917108,1481946.2951336,"Brandenburg64 (E. ferrisi)",0.88,"[0.52-1.48]"
"STRA",2118816.85714285,0.390302252501393,985978.715481618,4553226.96486384,"Brandenburg88 (E. falciformis)",2.12,"[0.99-4.55]"
"SCHUNT-STRA",573243.988986878,0.680701991534517,150981.913005704,2176477.06515134,"Brandenburg139 (E. ferrisi)",0.57,"[0.15-2.18]"
"SCHUNT-STRA",1437398.33333333,0.421574659638024,629118.036097225,3284143.59487563,"Brandenburg64 (E. ferrisi)",1.44,"[0.63-3.28]"
"SCHUNT-STRA",1344371.25,0.365094373079459,657279.856137012,2749717.70540587,"Brandenburg88 (E. falciformis)",1.34,"[0.66-2.75]"
"BUSNA-STRA",612788.393790719,0.68070198712716,161397.182593998,2326618.15732696,"Brandenburg139 (E. ferrisi)",0.61,"[0.16-2.33]"
"BUSNA-STRA",1290160.125,0.365094378430034,630775.354992772,2638836.68720551,"Brandenburg64 (E. ferrisi)",1.29,"[0.63-2.64]"
"BUSNA-STRA",1437110.75,0.36509436486214,702621.364616425,2939402.94413483,"Brandenburg88 (E. falciformis)",1.44,"[0.7-2.94]"
"PWD-SCHUNT",354541.336348065,0.712591452496915,87721.8805342051,1432932.79184157,"Brandenburg139 (E. ferrisi)",0.35,"[0.09-1.43]"
"PWD-SCHUNT",896133.999999996,0.365094436772299,438131.024499315,1832913.21785237,"Brandenburg64 (E. ferrisi)",0.9,"[0.44-1.83]"
"PWD-SCHUNT",831469.999999998,0.421574759855104,363916.29139701,1899729.07848136,"Brandenburg88 (E. falciformis)",0.83,"[0.36-1.9]"
"BUSNA-PWD",661509.981897145,0.694548179029878,169564.885148551,2580696.20821668,"Brandenburg139 (E. ferrisi)",0.66,"[0.17-2.58]"
"BUSNA-PWD",1461778,0.344214266327518,744536.008541593,2869968.53982868,"Brandenburg64 (E. ferrisi)",1.46,"[0.74-2.87]"
"BUSNA-PWD",1551372.57142857,0.390302284093936,721921.876041106,3333818.98409717,"Brandenburg88 (E. falciformis)",1.55,"[0.72-3.33]"
"BUSNA",503079.666666667,0.421574915040586,220186.935049595,1149428.55695066,"Brandenburg139 (E. ferrisi)",0.5,"[0.22-1.15]"
"BUSNA",1102932.07142857,0.275985425710731,642139.736059249,1894383.86362915,"Brandenburg64 (E. ferrisi)",1.1,"[0.64-1.89]"
"BUSNA",564565.571428571,0.390302490286253,262717.079873784,1213222.54569668,"Brandenburg88 (E. falciformis)",0.56,"[0.26-1.21]"
"PWD",896458.833333331,0.421574742620315,392360.500122514,2048214.43445612,"Brandenburg139 (E. ferrisi)",0.9,"[0.39-2.05]"
"PWD",1689484.92307692,0.286403569231156,963756.14547144,2961702.83190045,"Brandenburg64 (E. ferrisi)",1.69,"[0.96-2.96]"
"PWD",239097.857142856,0.390302931539827,111262.605597175,513809.513838649,"Brandenburg88 (E. falciformis)",0.24,"[0.11-0.51]"
